no,ministry,bureau,name,code,account,new_or_continue,support_type,subsidy_rate,executor,beneficiary,period,total_cost,budget_2025,budget_2026,cost_5y,budget_nums,daegu_mention,region_scope,purpose,history,basis,page,source,volume,source_url
1,산업통상부,산업정책실,국가생산성혁신기반구축,3160-301,일반회계,,,0,"한국생산성본부, 광산업진흥회","중소·중견기업, 정부·국회·연구기관, 전국 광융합 관련 중소·중견기업 등",‘86~계속,해당없음,2821,2902,- - -,"2,916|2,821|3,116|2,902|2,902|81|2|2,916",,전국,,"- 사업 시작년도, 추진배경, 부처별 중점과제 등 - 1961.04 아시아생산성기구(APO) 가입, 한국생산성본부 업무위탁 - 1986.07 한국생산성본부 특수법인화(산업발전법 제32조), 지원사업 개시 - 1989.05 생산성 배가 5개년(1989~1993년)사업 실시 - 1998.07 美 국가품질연구소와 국가고객만족도(NCSI)개발 . 발표 - 2006.01 생산성경영체제(PMS) 인증사업 실시 - 2006.06 제48차 APO이사회 서울 개최 - 2009.10 다우존스지속가능경영지수(DJSI KOREA) 발표 - 2010.10 중소․중견기업 생산성 혁신 전략 보고(국경위) - 2012.01 ‘국가생산성 혁신기반 구축’으로 사업명 변경 - 2016.03 생산성경영체제(PMS) 민간인증으로 전환 - 2016.11 광융합산업생태계기반고도화지원 사업 前 장병완 의원 대표 발의 - 2017.02 KPC-UNIDO 생산성 글로벌 연구 협력 MOU체결 - 2017.02 광융합산업생태계기반고","□ 국가생산성혁신기반구축 : (2025 추경) 3,116백만원 → (2026 예산) 2,902백만원, 214백만원 감액 (2025 본예산 2,821백만원 → 제1회 추경 2,821백만원 → 제2회 추경 3,116백만원) ① 국가생산성통계 : (2025 본예산) 878백만원 → (2026 예산) 864백만원, 14백만원 감액 - (요구) 기술(디지털전환), 인구(생산인구 감소), 환경(통상환경 악화, 탄소중립 등) 등 경제·사회적 변화에 대응하 기 위한 안정적 통계 산출 및 증거기반의 정책수립 지원을 위해 전년 수준의 예산 필요 - (산출) 생산성통계 13종 × 66.5백만원 ② APO국제협력 : (2025 본예산) 270백만원 → (2026 예산) 70백만원, 200백만원 감액 - (요구) 아시아 국가 간 협약(APO협력)과 우리 기업들의 해외진출을 지원하기 위한 APO 국제협력 사업 지속 추 진을 위한 운영비용 지원 필요 - (산출) APO국제회의참여 × 2회 × 5백만원 = 10백만원 초청연수 × 2회 × 15백만원 = 30백만원 컨퍼런스 × 1회 × 30백만원 = 30백만원 ③ 광융합산업혁신생태계기반구축 : (2025 추경) 1,968백만원 → (2026 예산) 1,968백만원, 전년동 : (2025 본예산 1,673백만원 → 제1회 추경 1,673백만원 → 제2회 추경 1,968백만원) - (요구) 급변하는 대내외 환경변화, 시급성, 중요성을 고려한 광융합산업 현안 대응 및 수출 기반이 약한 중소기 업의 선순환 생태계 구축을 위한 정책수립 및 신시장·잠재시장 개척 마케팅 지원으로 국가 경쟁력 확보 를 ",13,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료(2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf),2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf/48/view
2,산업통상부,산업정책실,글로벌 환경규제 대응 및 자원생산성 기반구축,3147-301,,,,,한국생산기술연구원,"국내 기업(해외 진출 국내 기업 포함), 연구소, 대학 등",’09년 ~ 계속,해당 없음,1649,1409,,"1,941|1,649|1,409|1,409|240|14|1,941|1,649",,,,"- 사업 시작년도, 추진배경, 부처별 중점과제, 대통령 공약사항 등 - ‘95. 12월 『환경친화적 산업구조로의 전환촉진에 관한 법률』제정 - ‘95. 12월 청정생산기술개발보급사업 시행 - ‘99. 1월 국가청정생산지원센터(KNCPC) 지정 - ‘02. 8월 WSSD(World Summit on Sustainable Development)는 청정생산 및 환경 경제효율성 제고를 위한 투자를 이행계획에 포함(산업환경통계 조사 필요성 제기) - ‘06. 6월『환경친화적 산업구조로의 전환촉진에 관한 법률』개정 - ‘07~’09 폐기물에서 금속자원 추출 및 대체소재 기술개발 지원 - ‘08. 3월『환경친화적 산업구조로의 전환촉진에 관한 법률』 개정 “산업환경 통 계 등 실태조사” 근거 마련 - 28 - - ‘08. 12월 녹색성장 산업발전전략 수립(국제환경규범과 시장확대) - ‘09. 1월 국제환경규제 사전대응 기반구축사업 시행 - ‘09. 2월 녹색성장기본법에 ‘국제규범 대응(제37조)’","① CFE 이니셔티브 기획·확산 : (2025 본예산) 1,020백만원 → (2026) 600백만원, 420백만원 감액 - (요구) 전년도(‘25년) 기획·연구 결과를 반영한 후속연구 진행 및 국제 사회의 지지와 공감대 형성을 지속하기 위한 예산 요구 - (산출) CFE 기획·연구 300백만원 CFE 이니셔티브 국제확산 230백만원 CFE 인증제도 상호인정 체계 확산 70백만원 ㅇ 2025년도 예산 및 2026년도 예산안 산출 세부내역 비교 2025년 본예산 2026년 예산 예산 산출내역 예산 산출내역 가. CFE 이니셔티브 기획·연구(420백만원) ㆍ 산업 연·원료 부문의 CFE 이행기준(안) 마련과 이행 프로세스 수립 및 전력 부문의 이행체계 적용과 국내 시범 사업 실증 : 가. CFE 이니셔티브 기획·연구(300백만원, 좌동) 1식×420백만원 ㆍ CFE 인증제도(Scope 2+1) 시범운영 : 1식×300백만원 나. CFE 이니셔티브 국제확산(400백만원) 나. CFE 이니셔티브 국제확산(230백만원) ㆍ 국제협력 강화 : 1식 ×100백만원 ㆍ 양·다자 아웃리치 : 1식×80백만원 1,020 ㆍ 국제 행사 : 1식×250백만원 600 ㆍ 국내외 행사 : 1식×150백만원 ㆍ 국내 인식제고 : 1식×20백만원 ㆍ 전문가그룹 운영 : 1식×10백만원 다. CFE 인증제도 상호인정 체계 확산(70백만원) ㆍ 국내외 홍보 : 1식×20백만원 ㆍ 글로벌 작업반 운영 : 1식×20백만원 ㆍ 기술위원회 운영 : 1식×50백만원 다. CFE 글로벌작업반 운영(200백만원) ㆍ 글로벌 작업반 운영 : 1식×120백만",32,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료(2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf),2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf/48/view
3,산업통상부,산업정책실,산업통계 및 동향분석 기반사업,3133-301,일반회계,,,100,산업연구원(공모선정),"정부, 기업, 학계, 일반인 등 전국민",’04년 ~ 계속,,604,596,"1,890 1,829 604 604 596",604|604|604|596|596|8|1|604,,전국,,"- 2002. 12. (구)산업자원부의 산업정책 입안과정에서 산업동향 및 산업혁신과정에 대한 기초통계와 정보부족이 지적되면서 주력기간산업에 대한 체계적인 통계데이터 베이스의 필요성 제기 - 2003. 6. 주력기간산업에 대한 체계적인 산업통계기반을 구축하고 국제비교 가능한 DB을 마련하는 차원에서 본 사업의 추진 검토 - 2004. 4. 산업통계정보 시스템 구축에 대한 중장기 정보전략계획(ISP) 수립 - 2004. 8. 18. 대통령은 “부처별로 정책결정에 꼭 필요한 효과적이고 정확한 통계를 새롭게 만들어 나가 지속적으로 관리해서 정확한 정책결정의 근거로 삼아야 한다”고 지적 (정부혁신 워크숍) - 2005. 5. ISTANS D/W, ISTANS 포털 서비스 개시 - 2005. 10. 정부혁신 우수사례 선정 - 2013. 2. 새정부 출범이후 정부 3.0, 대외위험요인에 대한 신속 대응 및 경제적 안정판 강화 등 새정부 국정과제 중 사례(evidence) 기반의 정책기획과 구상 ","□ 산업기술정보화및정책지원 : (2025) 604백만원 → (2026) 596백만원, △8백만원 ① 산업통계 콘텐츠 개발 및 확대 : (2025)135백만원 → (2026)127백만원, △8백만원 * ISTANS 산업통계분석 콘텐츠 유지 관리 : 42백만원 * 산업통계를 활용한 산업동향분석 정보 제공 : 55백만원 * 신규산업통계 기획 및 구축 : 30백만원 ② 산업통계 포털 및 분석시스템 확충 및 강화 : (2025)349백만원→ (2026)349백만원, 전년同 * 국내 및 해외 산업통계 DB확충 및 업데이트 : 100백만원 * 산업통계코드(40대 제조업, 20대 서비스업) 연계 및 산업분류체계 관리 : 30백만원 * ISTANS 포털 개선, 시스템 유지 위한 SW, 서버 등 관리: 145.9백만원 * ISTANS 이용 확산 및 활성화: 73.1백만원 ③ 미시산업통계 설문조사(ISDB) 실시 및 시스템 활용 : (2025)120백만원→ (2026)120백만원, 전년同 * 업종별, 지역별 경기실태 조사 : 120백만원 ㅇ 2025년도 예산 및 2026년도 예산 산출 세부내역 비교 2025년 본예산 2026년 예산 예산 산출내역 예산 산출내역 ㅇ 산업통계분석시스템의 통계 콘텐츠 개발 및 확대 : 135백만원 ㅇ 산업통계분석시스템의 통계 콘텐츠 개발 및 확대 : 127백만원 가. ISTANS 산업통계분석 콘텐츠 유지 관리 : 50백만원 가. ISTANS 산업통계분석 콘텐츠 유지 관리 : 42백만원 ㆍ 리뉴얼DB 관련 전문가 자문회의 5회x1.96백만x100%) ㆍ 리뉴얼DB 관련 전문가 자문회의 6회x1백만x10",51,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료(2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf),2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf/48/view
4,산업통상부,산업정책실,지속가능경영확산사업,3162-302,일반회계,,,100,지속가능경영지원센터(한국생산성본부),중소·중견기업 등,’07 ~ 계속,해당 없음,2020,1996,"742 2,413 2,377 2,020 1,996","2,377|2,020|1,996|1,996|24|1|2,377|2,020",,전국,,"- 사업의 효과적 수행과 종합시책 수립을 위해 지속가능경영 지원센터 지정(‘19.4) - 산업발전법에 따른 ‘지속가능경영 확산 대책’ 발표(‘20.12) - 관계부처 합동 ‘ESG 인프라 확충 방안’ 발표(‘21.8, 기재부 주관) * K-ESG 가이드라인 마련, ESG 경영지원 플랫폼, 교육・컨설팅, 맞춤형 공급망 실사 대응 지원 등 - 관계부처 합동 ‘ESG 인프라 고도화 방안’ 발표(‘22.12, 기재부 주관) * K-ESG 가이드라인(업종별) 구체화, ESG 공급망실사 대응력 향상, ESG 경영지원 플랫폼, 교육 등 - 관계부처 합동 ‘EU 공급망실사 대응을 위한 기업 지원방안’ 발표(‘23.5, 민관합동 ESG 정책협의회) * 원청기업-협력사간 컨설팅, 실사대응 플랫폼, 업종별 가이드라인, 인턴쉽 프로그램 등","① K-ESG 기반조성 : (2025) 273백만원 → (2026) 263백만원, △10백만원 - (예산) ▲업종별 K-ESG 가이드라인 개발(1종), ▲산-학-연 공동 ESG 대응 네트워크 구축, ▲K-ESG 플랫폼 운영 및 고도화에 273백만원 (전년比 10) - (산출) K-ESG 가이드라인 개발(90백만원) ESG 네크워크 구축(92백만원) 온라인플랫폼 운영·관리(81백만원) ② K-ESG 역량강화 : (2025 본예산) 347백만원 → (2026 예산) 341백만원, △6백만원 - (예산) ▲찾아가는 사내전문가 교육, ▲ESG 자격증 과정 운영을 통한 전문가 육성, ▲ESG 정책연구 등에 341백만원 (전년比 6) - (산출) K-ESG 사내전문가 육성(204백만원) 찾아가는 K-ESG 교육(83백만원) ESG정책연구(54백만원) ③ K-ESG 인센티브 : (2025 본예산) 75백만원 → (2026 예산) 67백만원, △8백만원 - (예산) ▲기업가정신주간행사 및 ▲지속가능경영유공 시상식에 67백만원 (전년比 8) - (산출) 기업 우수사례 발표 행사 및 정부포상 행사비(67백만원) ④ ESG 공급망 실사 대응력 향상 : (2025 본예산) 1,325백만원 → (2026 예산) 1,325백만원, 전년同 - (예산) ▲ESG 공급망 실사 대응력 향상 컨설팅 지원에 1,325백만원 (전년同) - (산출) ESG 공급망 실사 대응력 향상 컨설팅(1,325백만원) ㅇ 2025년도 예산 및 2026년도 예산 산출 세부내역 비교 2025년 본예산 2026년 예산 예산 산출내역 예산 산출내역 ○ K-ESG 기반",62,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료(2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf),2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf/48/view
5,산업통상부,산업정책실,아시아생산성기구분담금(ODA),3160-303,일반회계,,,,산업통상부,APO회원국,1961~계속,해당없음,1824,1990,"1,494 1,572 1,723 1,824 1,990","1,723|1,824|1,824|1,990|1,990|166|9|1,723",,,,"- (1959.3월) 동경에서 개최된 제1차 아시아 생산성 원탁회의에서 경제개발 촉진을 위한 민간 주도형의 아시아 역내 경제협력기구의 설립 결정 - (1959.10월) 마닐라에서 개최된 제2차 원탁회의에서 협약안 채택 - (1961.4월) 마닐라 원탁회의에서 한국, 일본, 인도 등 8개국 협약안에 조인 - (2011) 분담금 집행기관 이관(외교부->산업부)","① 아시아생산성기구분담금 : (2025) 1,824백만원 → (2026 예산) 1,990백만원, +9.1% - (요구) 아시아생산성기구 연간 의무 분담금과 누적 미납 분담금의 납부를 감안, 25년 대비 9.1% 증액한 1,990백만원 요구 - (산출) 2026년 의무 분담금 규모 : $ 1,321,617(UDS) 이외 누적된 미납 분담금 잔존 * ‘22년 미납 분담금 : $ 220,822.72 * ‘23년 미납 분담금 : $ 175,270.14 * ‘24년 미납 분담금 : $ 36,292.22 - 26년도 의무 분담금의 차질없는 납부 및 단계적 미납금 해소를 위해 총 1,990백만원 필요 ㅇ 2025년도 추가경정예산 및 2026년도 예산 산출 세부내역 비교 2025년 예산 2026년 예산 예산 산출내역 예산 산출내역 ○ 국제부담금(240-02) : 1,990백만원 ○ 국제부담금(240-02) : 1,824백만원 - 26년도 의무분담금($1,321,617) 및 누적 미납금($432,385.08)의 단계 1,824 - (1,321,617(25년도 의무분담금) + $32,805.08(미납 분담금)) * 1,347(기준환율) 1,990 적 해소 고려 ≒1,824백만원 - ($1,321,617(의무분담금)+$120,500(누적미납금))*1,380(기준환율) ≒1,990백만원",78,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료(2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf),2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf/48/view
6,산업통상부,산업정책실,창의융합형공학인재양성지원,3161-303,일반회계,,,,한국산업기술진흥원,전국 공과대학,’07 ~ 계속,해당없음,10944,10753,"15,200 15,200 12,160 10,944 10,753","12,160|10,944|10,944|10,753|10,753|191|1|12,160",,전국,,"- 사업 시작년도, 추진배경, 부처별 중점과제, 대통령 공약사항 등 ㅇ ‘06.11 수요자 중심의 공과대학 혁신방안 VIP 보고 ㅇ ‘07.05 공학교육혁신센터지원사업 시행(산업자원부) ㅇ ‘07.06 50개 공학교육혁신센터 및 5개 거점센터 선정 ㅇ ‘08.05 10개 공학교육혁신센터 추가 선정 ㅇ ‘08.09 산업자원부→교육과학기술부 업무 이관 ㅇ ‘11.03 공학기술교육혁신센터(전문대) 신규 선정 ㅇ ‘12.03 2단계 공학교육혁신지원사업(’12~‘21) 기본계획 수립 및 추진 ㅇ ‘14.12 교육부→산업통상자원부 업무 이관 ㅇ ‘15.03 2단계 2기(’15.3~’18.2) 공학교육혁신센터사업 시행 ㅇ ‘16.05 공학기술교육혁신(거점)센터 및 정보센터 신규 선정 ㅇ ‘18.03 2단계 3기(’18.3~’22.2) 창의융합형공학인재양성지원사업 시행 ㅇ ‘22.03 3단계(’‘22.3~’28.2) 창의융합형공학인재양성지원사업 시행 - 86 -","① 업종특화공학교육혁신센터 : (‘25) 10,440백만원 → (’26 예산) 10,440백만원, 전년동 - (요구) 산업계 수요를 바탕으로 캡스톤디자인 등 비교과 과정 및 현장 실습형 산학협력 프로그램 등을 기획·운영하여 현장에서 요구하는 공학인재를 지속적으로 양성하기 위한 예산 필요 - (산출) 73개 공과대학 x 136백만원 + 1개 연구정보센터 x 512백만원 = 10,440백만원 ② 기획평가관리 : (‘25) 504 백만원 → (’26 예산) 313백만원, 191백만원 감액 - (요구) 수행대학의 평가·관리 및 청년공학도 대상 창의적 종합설계 경진대회 포상금 등 - (산출) 10,440백만원(업종특화공학교육혁신센터 사업비) x 3.00% = 313백만원 ㅇ 2025년도 예산 및 2026년도 예산 산출 세부내역 비교 2025년 본예산 2026년 예산 예산 산출내역 예산 산출내역 ○ 사업출연금(350-02) : 10,440백만원 ○ 사업출연금(350-02) : 10,440백만원 (공과대학) 73개 대학 x 136백만원 + (연구정보센터) 1개 (공과대학) 73개 대학 x 136백만원 + (연구정보센터) 1개 대학 x 512백만원 = 10,440백만원 대학 x 512백만원 = 10,440백만원 10,944 10,753 ○기관운영출연금(350-01) : 313백만원 ○기관운영출연금(350-01) : 504백만원 10,440백만원(업종특화공학교육혁신센터 사업비) x 3.00% = 313백만원 10,440백만원(업종특화공학교육혁신센터 사업비) x 4.83.% = 504백만원 * 청년공학도의 성과 격려 및 사기 ",92,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료(2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf),2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf/48/view
7,산업통상부,산업정책실,산업기술정보화및정책지원,3133-304,일반회계,,,,산업통상부,"일반국민, 정책입안자",‘10년 ~ 계속,해당없음,1199,838,"1,795 1,757 879 1,199 838","879|1,199|1,199|1,199|838|361|30|857",,전국,,"- 산업‧통상‧경제 분야의 정책수립 및 중장기 기획, 긴급 현안대응, 법령 제‧개정 등 산업부 전반의 효율적인 정책지원을 위해 지원","① 산업기술정보화및정책지원 : (2025 본예산) 879백만원 → (2026) 518백만원, △361백만원 - (요구) 산업발전 정책 및 중장기 전략 수립 등을 위한 사전조사 및 관련 주요 현안에 대응 지원을 위해 518백만원 요구 - (산출) 다변화하는 정책환경 하에서 새로운 정책개발 등을 위해 전문가 활용을 통한 정책연구 지속 추진 필요(11개 신규과제 × 47백만원 ≒ 518백만원) ㅇ 2025년도 예산 및 2026년도 예산안 산출 세부내역 비교 2025년 본에산 2026년 예산안 예산 산출내역 예산 산출내역 ○ 정책연구비(260-02) : 879백만원 ○ 정책연구비(260-02) : 518백만원 879 가. 산업통상정책연구 (879백만원) 879 가. 산업통상정책연구 (518백만원) ㆍ 정책연구과제 : 16개과제×55백만원 ≒ 879백만원 ㆍ 정책연구과제 : 11개과제×47백만원 ≒ 518백만원 * 최근 4년간(‘21~’25년) 동 사업을 통해 지원한 과제 평균 단가는 47백만원 ② 산업기술개발장비도입심의지원 : (2025 본예산) 320백만원 → (2026 예산) 320백만원, 전년동 - (요구) 산업부 비R&D 산업기술장비 도입심의를 위한 예산 요구 - (산출) 산업부 비R&D 산업기술장비 도입심의 연구용역 320백만원 ㅇ 2025년도 예산 및 2026년도 예산 산출 세부내역 비교 2025년 예산 2026년 예산 예산 산출내역 예산 산출내역 ○ 일반출연금(350-02) : 320,000천원 가. 심의 운영인력 인건비 (42,000천원) ㆍ 책임급 : (96,000천원/12)×1인×1.5개월=12,0",102,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료(2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf),2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf/48/view
8,산업통상부,산업정책실,디지털제품여권대응한국형산업공급망데이터플랫폼구축사업(정보화),3147-312,,,,,"산업통상부, 한국생산기술연구원",국내 수출기업(해외 진출 국내 기업 포함),2026~2029,해당 없음.,0,705,,705|705|705|705|705|705|260|01,,,,"- 사업 시작년도, 추진배경, 부처별 중점과제, 대통령 공약사항 등 - 「산업 공급망 탄소중립 전략」(‘24.7., 민관합동 산업 공급망 탄소중립 얼라이언스) : 한국형 산업 공급망 (탄소)데이터 플랫폼 구축 - 「‘25년 산업부 주요업무 추진계획」(‘25.1.): 산업 AX 관련하여 한국형 산업공급망 데이터 플랫폼 구축 추진 - 「산업 AI 확산을 위한 10대 과제」(’25.1.): 산업 데이터 스페이스 구축 - 「디지털플랫폼정부위원회 국민드림프로젝트」(’24.3.): 디지털플랫폼정부위원회에서 공공주도의 DPP대응 플랫폼(데이터 스페이스 기반) 필요성을 제기하여 플랫폼 구축을 위한 가이드라인 용역 과제의 주관 부처로 산업부 선정","□ 디지털 제품 여권 대응 한국형 산업 공급망 데이터플랫폼 구축 사업(정보화) : (2026 예산) 705백만원, 순증 ① 디지털 제품 여권 대응 한국형 산업 공급망 데이터플랫폼 시스템 구축 : (2026 예산) 705백만원, 순증 - (요구) 데이터 플랫폼 시스템 구축을 위한 정보화전략계획(ISP/BPR) 수립을 위한 예산 요구 - (산출) ① 정보화전략계획(ISP/BPR) 용역 705백만원 ㅇ 2025년도 예산 및 2026년도 예산 산출 세부내역 비교 2025년 본예산 2026년 예산 예산 산출내역 예산 산출내역 ○ 일반연구비(260-01) : 705,000천원 - - 705,000 가. 디지털제품여권 대응 플랫폼 구축을 위한 BPR/ISP 용역 (705,000천원) ㆍ BPR/ISP 용역 : 705,000천원×1식=705,000천원",110,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료(2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf),2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf/48/view
9,산업통상부,산업정책실,산업혁신인재성장지원(R&D),3161-315,일반회계,,,,"대학, 연구소, 협회·단체 등 비영리기관",대학원생 등,1995 ∼ 계속,해당없음,166145,201395,"130,442 135,658 157,479 166,145 201,395","157,479|166,145|166,145|201,395|201,395|35,250|21|157,479",,,,- ‘09.7월 『지식경제부 인력사업 통합관리 방안』수립 - ‘11.3월 지식경제부 2011년도 인력사업 종합시행계획 수립 - ‘13.2월 지식경제부 2013년도 인력사업 종합시행계획 수립 - ‘14.3월 산업통상자원부 2014년도 인력사업 종합시행계획 수립 - ‘15.4월 산업인력양성사업 개편 - 128 - - ‘16.2월 산업부 인력사업 종합시행계획 수립 - ‘17.1월 산업부 인력사업 종합시행계획 수립 - ‘18.1월 2018년도 산업통상자원부 인력양성계획 수립 - ‘19.2월 제4차 과학기술기본계획 - ‘19.3월 제7차 산업기술혁신기본계획 - ‘19.6월 제조업 르네상스 비전 및 전략 - ’19.8월 혁신성장 확산ㆍ가속화 전략 - ’20.5월 엔지니어링산업 혁신전략 - ’20.7월 뿌리 4.0 경쟁력 강화 마스터 플랜 - ’20.7월 소재·부품·장비 2.0 전략 - ’20.7월 한국판 뉴딜 종합계획 - ’20.8월 디지털 기반 산업 혁신성장 전략 - ’20.10월 미래자동차,"□ 산업혁신인재성장지원(R&D) : (2025 본예산) 166,145 → (2026 예산) 201,395, +35,250백만원 ① 교육훈련 : (2025 본예산) 149,420 → (2026 예산) 177,070, +27,650백만원 - (요구) 첨단·주력산업 분야 산업수요 기반 석·박사 인재양성 및 박사후연구원 성장지원을 위해 증액 요구 - (산출) 계속 : 47개 과제 × 2,614.6백만원 × 12/12개월 = 122,885백만원 신규 : 12개 과제 × 4,515.4백만원 × 12/12개월 = 54,185백만원 ② 해외연계 : (2025 본예산) 8,600 → (2026 예산) 16,200, +7,600백만원 - (요구) 신진연구자 해외 공동연구 지원, 우수 외국인 유학생 지역기업 연계, 해외석학 유치를 위해 증액 요구 - (산출) 계속 : (내국인) 112명 × 95.5백만원 × 10/12개월 = 9,000백만원 신규 : (외국인) 100명 × 30백만원 × 12/12개월 = 3,000백만원 신규 : (해외석학) 14명 × 600백만원 × 6/12개월 = 4,200백만원 ③ 정책기반 : (2025 본예산) 8,125 → (2026 예산) 8,125, 전년동 - (요구) 산업기술인력 수급통계, 산업별 인적자원개발협의체(SC) 지원 등을 위해 전년 수준 요구 - (산출) 계속 : 3개 과제 × 2,708백만원 × 12/12개월 = 8,125백만원 ㅇ 2025년도 예산 및 2026년도 예산 산출 세부내역 비교 2025년 본예산 2026년 예산 예산 산출내역 예산 산출내역 ○ 연구개발연구활동비등(360-05",134,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료(2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf),2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf/48/view
10,산업통상부,산업정책실,탄소저감형 건설기계 재제조 품질인증 기반구축을 통 한 신시장 개척사업,3147-322,일반회계,,,,"주관기관(산/학/연 등), 참여기관(산/학/연 등)","건설기계업계, 건설기계 부품 재활용 또는 제재조 업체 등",‘26~’30(5년),해당없음,0,500,- - - - 500,500|500|500|500|500|485|350|02,,,,"- (’18.9) 제1차 자원순환기본계획(2018~2027)(관계부처 합동) * 에너지 산업 필수 7대 전략 금속(Nd, Ni, Pt, Pd, Ni, Li, Co) 자급률 ‘18년 21.1% → ‘30년 목표 자급률 30.0% 목표 설정 - (’19. 3) 이차전지 기술개발 정책발표(산업통상자원부) * 차세대 이차전지 산업육성을 위해 배터리 소재, 장비, 셀 제조업체 등을 대상으로 하는 500억원규모의 ‘차세대 이차전지펀드’ 조성 계획 발표 - (’20.7) 한국판 뉴딜 종합정책 발표(기획재정부) * 스마트 생태공장(100개소)·클린팩토리(1,750개소)구축 및 소규모 사업장(9,000개소) 대상 미세먼지 방지설비 지원 - (’20.12) 「2050 탄소중립」추진전략 발표(관계부처 합동) * 순환경제를 통해 투입 에너지를 최소화함으로써 생태계보전과 온실가스 감축 동시구현 * 제품 지속가능성 제고 및 부문별 폐자원 순환망 구축 등으로 경제성장과 자원사용의 탈동조화 - (’21.4) 자","□ 사업내용(지원내용) ㅇ 건설기계 재제조 품질인증 기반구축 및 관련 중소기업 사업화(시제품, 판로개 척 등) 지원을 통한 탄소중립 신산업‧신시장 개척 □ 26년 요구내역 : 500백만원 ‣ (내역사업) 탄소저감형 건설기계 재제조 품질인증 기반구축을 통한 신시장 개척사업 - (재제조 기반조성) 건설기계 재제조 제품에 대한 신뢰성 확보를 위해 글로벌 표준의 성능평가 및 품질인증, LCA(Life Cycle Assessment) 시스템의 구축과 사업화 지원 - (기관운영출연금) 노후 건설기계 재제조 기반 조성을 위한 사업 관리비 ’25년 예산 ’26년 예산안 예산 산출내역 예산 산출내역 ○ 사업출연금 : 485백만원 - - 500 - 신규 1개 과제 x 9/12 개월 x 646.7백만원 ○ 기관운영출연금 : 15 백만원 - 158 -",163,산업통상부 2026년도 예산 및 기금운용계획 사업설명자료(2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf),2._2026년_국회확정_공통요구자료(Ⅱ-1)_산업정책실.pdf,https://www.motir.go.kr/kor/article/ATCL3f70bb6cf/48/view
